symbol,security,country,gics_sector,gics_sub_industry,categories
CPA,Copa Holdings S.A. Copa Holdings S.A.,Panama,Consumer Discretionary,Air Freight/Delivery Services,"[""Companies listed on the New York Stock Exchange"", ""Airline holding companies of the United States"", ""Companies based in Panama City""]"
CPAA,Conyers Park III Acquisition Corp.,United States,Finance,Blank Checks,
CPB,Campbell Soup Company,United States,Consumer Staples,Packaged Foods,"[""1869 establishments in New Jersey"", ""Brand name soups"", ""Campbell Soup Company| "", ""Companies based in Camden, New Jersey"", ""Companies listed on the New York Stock Exchange"", ""Multinational food companies"", ""Dorrance family"", ""Food and drink companies established in 1869"", ""Food manufacturers of the United States""]"
CPE,Callon Petroleum Company,United States,Energy,Oil & Gas Production,
CPHC,Canterbury Park Holding Corporation 'New',United States,Consumer Discretionary,Services-Misc. Amusement & Recreation,
CPHI,China Pharma Holdings,China,Health Care,Biotechnology: Pharmaceutical Preparations,
CPIX,Cumberland Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,
CPK,Chesapeake Utilities Corporation,United States,Utilities,Oil & Gas Production,"[""Companies listed on the New York Stock Exchange"", ""Natural gas companies of the United States"", ""American companies established in 1859"", ""Energy companies established in 1859"", ""Companies based in Kent County, Delaware"", ""1859 establishments in the United States"", ""Dover, Delaware""]"
CPNG,Coupang,,Consumer Discretionary,Durable Goods,"[""South Korean companies established in 2010"", ""Logistics companies of South Korea"", ""Companies based in Seoul"", ""Retail companies established in 2010"", ""Internet properties established in 2010"", ""Online marketplaces of South Korea"", ""South Korean brands"", ""Companies listed on the New York Stock Exchange"", ""2021 initial public offerings""]"
CPRT,Copart (DE),United States,Consumer Discretionary,Retail-Auto Dealers and Gas Stations,
CPRX,Catalyst Pharmaceuticals,United States,Health Care,Biotechnology: Pharmaceutical Preparations,"[""Biotechnology companies of the United States"", ""Companies listed on the Nasdaq"", ""Pharmaceutical companies established in 2002"", ""Orphan drug companies"", ""Biotechnology companies established in 2002"", ""2002 establishments in Florida"", ""Companies based in Coral Gables, Florida"", ""Health care companies based in Florida"", ""2006 initial public offerings""]"
CPS,Cooper-Standard Holdings,United States,Consumer Discretionary,Auto Parts:O.E.M.,
CPSH,CPS Technologies Corp.,United States,Consumer Discretionary,Building Materials,
CPSI,Computer Programs and Systems,United States,Technology,EDP Services,
CPSS,Consumer Portfolio Services,United States,Finance,Finance: Consumer Services,
CPT,Camden Property Trust,United States,Real Estate,Real Estate Investment Trusts,"[""1981 establishments in Texas"", ""Real estate companies established in 1981"", ""Financial services companies established in 1981"", ""Companies listed on the New York Stock Exchange"", ""Real estate investment trusts of the United States"", ""Companies based in Houston"", ""1993 initial public offerings""]"
CPTN,Cepton,United States,Industrials,Industrial Machinery/Components,
CPUH,Compute Health Acquisition Corp.,,Finance,Blank Checks,
CPZ,Calamos Long/Short Equity & Dynamicome Trust,United States,Finance,Trusts Except Educational Religious and Charitable,
CR,Crane Company,United States,Industrials,Metal Fabrications,"[""Companies listed on the New York Stock Exchange"", ""Companies based in Stamford, Connecticut"", ""Conglomerate companies of the United States""]"
CRAI,CRA International,United States,Consumer Discretionary,Other Consumer Services,"[""Macroeconomics consulting firms"", ""International management consulting firms"", ""Management consulting firms of Canada"", ""Management consulting firms of the United States"", ""Companies based in Massachusetts"", ""Companies listed on the Nasdaq""]"
